AH2011;Educação;Lazer;Negócios;Refeição;Saúde
1414;60.0;10.0;5.0;31.0;6.0
1415;363.0;44.0;44.0;218.0;68.0
1416;69.0;19.0;12.0;67.0;5.0
1417;41.0;11.0;6.0;61.0;0.0
1418;54.0;16.0;9.0;218.0;9.0
1419;52.0;10.0;5.0;41.0;2.0
1420;318.0;67.0;26.0;338.0;43.0
1421;99.0;21.0;22.0;81.0;25.0
1422;74.0;18.0;23.0;85.0;15.0
1423;29.0;4.0;4.0;12.0;7.0
1424;36.0;7.0;16.0;84.0;7.0
1425;15.0;15.0;3.0;154.0;2.0
1426;165.0;30.0;31.0;291.0;33.0
1427;81.0;16.0;21.0;122.0;18.0
1428;81.0;19.0;7.0;33.0;8.0
1429;2.0;0.0;0.0;8.0;0.0
1430;35.0;7.0;3.0;12.0;1.0
1431;38.0;11.0;4.0;30.0;2.0
1433;94.0;15.0;22.0;68.0;8.0
1434;15.0;1.0;3.0;10.0;3.0
1435;129.0;17.0;27.0;187.0;12.0
1436;103.0;15.0;25.0;125.0;13.0
1437;39.0;6.0;1.0;6.0;7.0
1438;132.0;21.0;41.0;212.0;40.0
1439;86.0;13.0;5.0;33.0;7.0
1442;3.0;1.0;4.0;17.0;1.0
1443;130.0;37.0;39.0;258.0;13.0
1444;0.0;0.0;0.0;0.0;1.0
1445;0.0;0.0;0.0;7.0;0.0
1446;50.0;10.0;6.0;7.0;9.0
1447;10.0;3.0;5.0;34.0;10.0
1448;36.0;7.0;2.0;10.0;5.0
1449;323.0;32.0;30.0;184.0;55.0
1450;13.0;2.0;2.0;53.0;1.0
1451;10.0;3.0;1.0;25.0;0.0
1452;8.0;0.0;3.0;5.0;1.0
1453;0.0;0.0;0.0;2.0;0.0
1454;35.0;4.0;5.0;34.0;7.0
1455;1.0;1.0;1.0;7.0;0.0
15001;68.0;9.0;32.0;211.0;16.0
15002;32.0;6.0;13.0;84.0;32.0
15003;11.0;0.0;2.0;19.0;6.0
15004;20.0;2.0;12.0;90.0;2.0
15005;31.0;10.0;6.0;92.0;2.0
15006;62.0;13.0;10.0;153.0;2.0
15007;3.0;0.0;2.0;8.0;1.0
15008;14.0;3.0;1.0;37.0;2.0
15009;56.0;5.0;14.0;197.0;16.0
1501;30.0;17.0;8.0;121.0;8.0
15010;14.0;4.0;1.0;45.0;0.0
15011;5.0;1.0;0.0;4.0;0.0
15012;10.0;2.0;2.0;22.0;1.0
15013;49.0;8.0;2.0;131.0;5.0
15014;3.0;8.0;0.0;15.0;0.0
15016;1.0;0.0;0.0;0.0;0.0
15017;1.0;5.0;2.0;10.0;0.0
15018;9.0;5.0;1.0;46.0;0.0
15019;1.0;0.0;0.0;13.0;0.0
1502;49.0;11.0;10.0;170.0;4.0
15020;9.0;0.0;5.0;106.0;4.0
15021;19.0;2.0;2.0;45.0;0.0
15022;13.0;5.0;0.0;59.0;0.0
15023;14.0;1.0;2.0;46.0;3.0
15024;9.0;2.0;0.0;25.0;0.0
15025;15.0;4.0;7.0;83.0;2.0
15026;1.0;4.0;1.0;40.0;0.0
15028;14.0;4.0;2.0;49.0;1.0
15029;8.0;1.0;4.0;41.0;0.0
1503;38.0;16.0;4.0;34.0;4.0
15030;8.0;1.0;3.0;17.0;0.0
15031;2.0;0.0;3.0;14.0;0.0
15032;6.0;3.0;0.0;21.0;0.0
15033;0.0;0.0;1.0;11.0;0.0
15034;13.0;4.0;6.0;49.0;0.0
1504;85.0;34.0;23.0;211.0;8.0
1505;20.0;9.0;3.0;115.0;2.0
