,AH2011,Educação,Lazer,Negócios,Refeição,Saúde
810,2002,85.0,7.0,53.0,146.0,80.0
811,2003,171.0,13.0,87.0,436.0,149.0
812,2004,23.0,3.0,6.0,56.0,4.0
813,2005,18.0,4.0,7.0,133.0,0.0
814,2006,142.0,25.0,32.0,394.0,16.0
815,2007,23.0,5.0,1.0,36.0,2.0
816,2008,78.0,9.0,7.0,147.0,3.0
817,2009,79.0,22.0,54.0,232.0,8.0
818,2010,46.0,4.0,11.0,54.0,2.0
819,2011,22.0,8.0,13.0,84.0,11.0
820,2012,142.0,24.0,41.0,365.0,13.0
821,2013,31.0,9.0,17.0,117.0,5.0
822,2014,73.0,28.0,21.0,259.0,3.0
823,2015,48.0,8.0,7.0,63.0,3.0
824,2016,87.0,24.0,34.0,319.0,7.0
825,2017,45.0,8.0,4.0,72.0,1.0
826,2018,108.0,30.0,19.0,212.0,5.0
827,2019,69.0,4.0,6.0,64.0,1.0
828,2020,24.0,4.0,6.0,28.0,0.0
829,20201,12.0,2.0,1.0,25.0,0.0
830,20202,31.0,10.0,20.0,109.0,8.0
831,20203,24.0,7.0,3.0,57.0,1.0
832,20205,6.0,4.0,1.0,35.0,1.0
833,20208,6.0,1.0,3.0,22.0,1.0
834,20209,38.0,3.0,0.0,30.0,1.0
835,2021,0.0,0.0,0.0,2.0,0.0
836,20210,4.0,3.0,0.0,5.0,0.0
837,2022,105.0,26.0,19.0,330.0,9.0
838,2023,46.0,13.0,12.0,101.0,2.0
839,2024,37.0,3.0,8.0,144.0,8.0
840,2025,71.0,11.0,9.0,160.0,13.0
841,2027,89.0,10.0,9.0,149.0,3.0
842,2028,4.0,1.0,19.0,43.0,0.0
843,2029,2.0,2.0,8.0,100.0,1.0
844,2030,0.0,0.0,2.0,3.0,0.0
845,2031,2.0,1.0,0.0,7.0,0.0
846,2032,13.0,1.0,1.0,14.0,0.0
847,2033,56.0,11.0,10.0,162.0,4.0
848,2034,16.0,4.0,2.0,34.0,8.0
849,2035,5.0,2.0,0.0,21.0,0.0
850,2036,16.0,2.0,2.0,67.0,2.0
851,2037,1.0,0.0,0.0,1.0,3.0
852,2038,13.0,5.0,2.0,47.0,2.0
853,2039,0.0,0.0,0.0,4.0,2.0
854,2040,102.0,20.0,24.0,254.0,2.0
855,2042,33.0,5.0,4.0,75.0,2.0
856,2043,2.0,0.0,2.0,15.0,0.0
857,2045,7.0,1.0,0.0,18.0,3.0
858,2046,6.0,1.0,1.0,37.0,3.0
859,2047,1.0,0.0,0.0,8.0,0.0
860,2048,9.0,1.0,0.0,16.0,2.0
861,2049,26.0,1.0,5.0,53.0,3.0
862,2050,48.0,11.0,5.0,126.0,5.0
863,2051,12.0,6.0,5.0,57.0,0.0
864,2052,8.0,1.0,1.0,4.0,2.0
865,2053,14.0,3.0,0.0,11.0,1.0
866,2054,4.0,0.0,1.0,3.0,3.0
867,2055,29.0,3.0,2.0,50.0,1.0
868,2056,2.0,0.0,0.0,5.0,0.0
869,2057,6.0,3.0,3.0,22.0,0.0
870,2058,0.0,0.0,0.0,6.0,0.0
871,2060,31.0,4.0,7.0,60.0,0.0
872,2061,1.0,3.0,0.0,9.0,0.0
873,2062,1.0,0.0,0.0,6.0,1.0
874,2063,5.0,0.0,0.0,11.0,3.0
875,2064,1.0,0.0,0.0,6.0,2.0
876,2065,1.0,0.0,2.0,10.0,1.0
877,2066,1.0,0.0,2.0,27.0,1.0
878,2067,7.0,1.0,1.0,17.0,0.0
879,2068,11.0,3.0,2.0,32.0,0.0
880,2069,3.0,0.0,5.0,22.0,0.0
881,2070,9.0,0.0,2.0,24.0,0.0
882,2071,182.0,40.0,41.0,265.0,13.0
883,2072,67.0,15.0,15.0,160.0,5.0
884,2073,50.0,14.0,10.0,98.0,5.0
885,21001,27.0,4.0,32.0,138.0,21.0
886,21002,36.0,14.0,11.0,74.0,1.0
887,21003,1.0,0.0,0.0,1.0,0.0
888,21004,32.0,7.0,11.0,84.0,11.0
889,21005,36.0,9.0,12.0,90.0,1.0
890,21006,9.0,0.0,7.0,17.0,2.0
891,21008,36.0,4.0,8.0,96.0,2.0
892,21009,39.0,8.0,13.0,150.0,0.0
893,21010,6.0,1.0,1.0,37.0,0.0
