MOTIVO_VIAGEM,MOTIVOS_PRIMARIOS,HORARIO_INICIO_VIAGEM,TEMPO_ENTRE_EMBARQUES,TEMPO_DESLOCAMENTO,AH_ORIGEM,AH_DESTINO,ID_VIAGEM,QTD_VIAGENS_IND
Residência,Residência,16.25,13.75,1.3666666666666667,2038,2067,4,4
Trabalho,Trabalho,7.0,11.0,1.0,2067,5318,1,2
Residência,Residência,18.0,13.0,1.2166666666666666,5318,2067,2,2
Saúde,Secundário,6.0,1.5,0.8833333333333333,2067,2038,1,2
Residência,Residência,7.5,22.5,0.5,2038,2067,2,2
Saúde,Secundário,13.666666666666666,2.333333333333333,0.2666666666666666,2067,2038,1,2
Residência,Residência,16.0,21.666666666666668,0.75,2038,2067,2,2
Outros,Secundário,8.0,3.5,0.8333333333333334,2050,2003,1,2
Residência,Residência,11.5,20.5,0.6666666666666666,2003,2050,2,2
Outros,Secundário,9.0,2.083333333333333,0.6666666666666666,2050,2002,1,2
Residência,Residência,11.083333333333334,21.916666666666668,0.6666666666666666,2002,2050,2,2
Outros,Secundário,9.0,5.583333333333333,1.0833333333333333,2071,2071,1,2
Residência,Residência,14.583333333333334,18.416666666666668,1.6666666666666667,2071,2050,2,2
Trabalho,Trabalho,9.0,8.0,0.6666666666666666,2033,2001,1,2
Residência,Residência,17.0,16.0,0.5833333333333334,2001,2033,2,2
Trabalho,Trabalho,6.0,11.083333333333334,1.0833333333333333,2033,2001,1,2
Residência,Residência,17.083333333333332,12.916666666666666,2.1666666666666665,2001,2033,2,2
Trabalho,Trabalho,5.5,11.583333333333334,1.1666666666666667,2033,2006,1,2
Residência,Residência,17.083333333333332,12.416666666666666,2.25,2006,2033,2,2
Escola,Escola,6.083333333333333,5.5,0.8333333333333334,2033,2003,1,2
Residência,Residência,11.583333333333334,18.5,0.5833333333333334,2003,2033,2,2
Escola,Escola,18.083333333333332,4.416666666666667,1.0833333333333333,2033,2002,1,2
Residência,Residência,22.5,19.58333333333333,0.5,2002,2033,2,2
Escola,Escola,11.0,11.083333333333334,1.6666666666666667,2051,1402,1,2
Residência,Residência,22.083333333333332,12.916666666666666,1.75,1402,2051,2,2
Trabalho,Trabalho,5.5,5.333333333333333,0.9166666666666666,2051,2001,1,2
Residência,Residência,10.833333333333334,18.666666666666668,0.9166666666666666,2001,2051,2,2
Trabalho,Trabalho,5.5,12.666666666666666,0.75,2051,2029,1,2
Residência,Residência,18.166666666666668,11.333333333333334,1.3333333333333333,2029,2051,2,2
Trabalho,Trabalho,5.5,9.583333333333334,2.6666666666666665,2051,1012,1,2
Residência,Residência,15.083333333333334,14.416666666666666,3.0,1012,2051,2,2
Trabalho,Trabalho,8.0,11.0,1.5833333333333333,2038,1068,1,2
Residência,Residência,19.0,13.0,1.5833333333333333,1068,2038,2,2
Escola,Escola,5.833333333333333,5.666666666666667,1.1666666666666667,2038,1029,1,2
Residência,Residência,11.5,18.33333333333333,1.5,1029,2038,2,2
Outros,Secundário,13.0,9.0,1.0,2038,5327,1,2
Residência,Residência,22.0,15.0,0.8333333333333334,5327,2038,2,2
Trabalho,Trabalho,6.083333333333333,11.083333333333334,1.8333333333333333,2038,1319,1,2
Residência,Residência,17.166666666666668,12.916666666666666,1.9166666666666667,1319,2038,2,2
Outros,Secundário,9.0,3.083333333333333,0.9166666666666666,2036,2001,1,2
Residência,Residência,12.083333333333334,20.916666666666668,0.9166666666666666,2001,2036,2,2
Negócios,Secundário,11.5,3.8333333333333335,1.0,2036,2002,1,2
